"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000067715",6451.94354766057,-2.98328079382014,0.401662898019262,-7.42732477540677,1.10816036305449e-13,1.04928474346587e-09
"ENSG00000166923",750.857203341685,3.66829074685148,0.4943297321195,7.42073662274618,1.16470722995435e-13,1.04928474346587e-09
"ENSG00000136750",284.913363442652,-4.01104884362062,0.575867687044755,-6.9652264467287,3.27875931887281e-12,1.96922284691501e-08
"ENSG00000152595",88.2622900239707,-4.62577481915781,0.696568711599558,-6.6408018938081,3.11981126582409e-11,1.40531898469046e-07
"ENSG00000089169",1140.82358672685,-2.92024884127282,0.442330132123388,-6.60196678723714,4.05738426227577e-11,1.4621189927537e-07
"ENSG00000166111",802.715496221926,-3.03135055765899,0.461700594008229,-6.56561979126448,5.18168768886846e-11,1.5560608129672e-07
"ENSG00000132872",702.525530850879,-2.80108851388604,0.433823738006277,-6.45674330030669,1.06980131094182e-10,2.75366857436424e-07
"ENSG00000166863",135.447886567983,-3.90911653867441,0.610841853683678,-6.39955581809025,1.55829606683754e-10,3.50967231653486e-07
"ENSG00000104435",4428.62073800375,-2.76461960593957,0.43738802385637,-6.32074829476223,2.60299718308615e-10,5.21120036053848e-07
"ENSG00000198121",6248.93812478555,2.41987985142965,0.391582980042215,6.17973705386472,6.42084543216148e-10,1.15690792996686e-06
"ENSG00000183837",705.497992577516,-3.00869613088412,0.489017654040588,-6.15253070318481,7.62562026801436e-10,1.24907659990075e-06
"ENSG00000130540",2159.20341770925,-2.70638264437274,0.441347872331781,-6.13208494712813,8.6734766634778e-10,1.30232252102119e-06
"ENSG00000143248",4988.23386631364,2.45652007989783,0.403074079438708,6.09446304093433,1.09805397209399e-09,1.52190280532227e-06
"ENSG00000159167",182.61705199447,3.91931341610545,0.646105432817965,6.06605859822522,1.31087319519507e-09,1.53882348142131e-06
"ENSG00000154262",465.237012719759,4.26943101239547,0.704244959452635,6.06242324505074,1.34085802173957e-09,1.53882348142131e-06
"ENSG00000105649",2265.62976421313,-2.61276940711545,0.43119421925368,-6.05937948713154,1.36647661797874e-09,1.53882348142131e-06
"ENSG00000168032",140.619498243534,-3.37480287973902,0.559337894087298,-6.0335673935446,1.60379058661128e-09,1.69982934056248e-06
"ENSG00000157005",184.630199238582,-3.56883150703865,0.592542225259857,-6.02291508503643,1.71303328238144e-09,1.71474631566382e-06
"ENSG00000148798",1775.05396260656,-2.68305329574928,0.450037117959836,-5.96184889795852,2.49399722402907e-09,2.36509694645031e-06
"ENSG00000163630",1174.89901410126,-2.52086984851374,0.425497941679782,-5.92451713999329,3.13216342488754e-09,2.69607092029769e-06
